title,company,location,summary,posted
"Sr Specialist Cybersecurity
                                                    Full Stack",AT&T,"Middletown, NJ 07748","Collaborate with an Agile
                                                      team of software
                                                      developers to
                                                      design, develop, and test
                                                      cybersecurity-focused
                                                      applications.
                                                    

                                                      Requires 2-3 years of
                                                      related experience.",PostedJust posted
"Technology Lead |
                                                    OpenSystem | Python -
                                                    OpenSystem",Ampcus Incorporated,"Bethpage, NY","Strong experience as a
                                                      Python developer.
                                                    

                                                      5-7 years of experience
                                                      Strong experience as a
                                                      Python developer.
                                                    

                                                      Good experience in React
                                                      JS or Svelte.",PostedToday
"Python Developer
                                                    (Mid)",AppCard,"New York, NY 10038 
                                                  
                                                    (Financial District
                                                    area)","Design, develop, and
                                                      maintain scalable software
                                                      solutions in collaboration
                                                      with your engineering
                                                      peers.
                                                    

                                                      Lead technical
                                                      architecture discussions
                                                      and guide the…",PostedPosted 1 day ago
"Application Developer -
                                                    Exotic Rates Derivatives
                                                    Pricing, Associate-
                                                    H/F/X",Société Générale,"Hybrid work in New York, NY
                                                  10167","The Global Business
                                                      Technology &
                                                      Operations (“GBTO”)
                                                      department has worldwide
                                                      responsibility for
                                                      supplying Global Banking
                                                      and Investor Solutions
                                                      (“GBIS”) with…",PostedPosted 1 day ago
"Lead Rapid Application
                                                    Developer",Barclays,"Hybrid work in New York, NY
                                                  10019","Collaborating and
                                                      communicating with other
                                                      developers and
                                                      stakeholders across 3
                                                      regions, AMER EMEA and
                                                      APAC.
                                                    

                                                      Working closely with other
                                                      RAD leads in EMEA.",PostedPosted 30+ days ago
N/A,N/A,N/A,N/A,N/A
Python API Developer,Capgemini,"New York, NY 10003 
                                                  
                                                    (Flatiron area)","Mentor junior
                                                      developers and
                                                      oversee code reviews.
                                                    

                                                      Performs data analysis
                                                      required to troubleshoot
                                                      data related issues and
                                                      assist in the resolution
                                                      of data…",PostedPosted 3 days ago
"Staff Software Engineer, IT
                                                    Products",Rippling,"New York, NY","Experience building
                                                      large-scale user-facing
                                                      applications and
                                                      developer tools.
                                                    

                                                      By connecting every
                                                      business system to one
                                                      source of truth for
                                                      employee data,…",PostedPosted 1 day ago
"Software Engineer, Full
                                                    Stack - Swaps Platform",Clear Street,"New York, NY","As an experienced Full
                                                      Stack Software Engineer
                                                      you will help build
                                                      ourEquity Swaps team.
                                                    

                                                      You will tackle non
                                                      trivial problems that
                                                      force you to balance
                                                      trade…",PostedToday
"Software Test Development
                                                    Engineer",ZT Systems,"Secaucus, NJ","ZT Systems is seeking a
                                                      motivated individual to
                                                      join our team and help
                                                      develop and execute test
                                                      plans and scripts to
                                                      verify product
                                                      functionality and ensure
                                                      our…",PostedToday
"Python & Perl
                                                    Developer","Altius Technologes,
                                                    inc","Weehawken, NJ","Note: Must have
                                                      Python Programming,
                                                      Perl Development, Angular
                                                      UI Development, and
                                                      JavaScript.
                                                    

                                                      As a Python &
                                                      Perl Developer, you
                                                      will be responsible for…",PostedPosted 14 days ago
N/A,N/A,N/A,N/A,N/A
"Snowflake & Python
                                                    Developer","Jefferies & Company,
                                                    Inc.","Jersey City, NJ","Experienced Data
                                                      management specialist
                                                      responsible for
                                                      developing, overseeing,
                                                      organizing, storing, and
                                                      analyzing data and data
                                                      systems.",PostedPosted 6 days ago
"Software Engineer,
                                                    Product",Meta,"New York, NY","Meta is seeking
                                                      experienced full-stack
                                                      Software Engineers to join
                                                      our product teams.
                                                    

                                                      Full stack web/mobile
                                                      application development
                                                      with a variety of coding…",PostedPosted 30+ days ago
"Lead Software
                                                    Engineer","Disney Entertainment &
                                                    ESPN Technology","New York, NY","Innovation: We develop and
                                                      execute groundbreaking
                                                      products and techniques
                                                      that shape industry norms
                                                      and enhance how audiences
                                                      experience sports,
                                                      entertainment &…",PostedJust posted
"Machine Learning Engineer
                                                    3",Comcast Corporation,"New York, NY 10018 
                                                  
                                                    (Clinton area)","In this role you’ll work
                                                      on a wide range of
                                                      computational challenges
                                                      such as: user response
                                                      prediction and bidding
                                                      optimisation, forecasting,
                                                      incrementality,…",PostedJust posted
"Sr Lead Python Backend
                                                    Developer",ADP,"Roseland, NJ 07068","Hands on experience using
                                                      python machine
                                                      learning libraries like
                                                      Sklearn, Matplotlib,
                                                      Seaborn to build machine
                                                      learning models such as
                                                      XGBoost, Random Forest,…",PostedPosted 12 days ago
N/A,N/A,N/A,N/A,N/A
